0,icao_code,1,name_eng,2,city_eng,3,country_rus
KAFO,KAFO,Municipal,Municipal,Afton,Afton,США,США
,,Afore,Afore,Afore,Afore,Папуа - Новая Гвинея,Папуа - Новая Гвинея
UTSN,UTSN,Zarafshan,Zarafshan,Zarafshan,Zarafshan,Узбекистан,Узбекистан
AGAF,AGAF,Afutara Aerodrome,Afutara Aerodrome,Afutara,Afutara,Соломоновы острова,Соломоновы острова
KAFW,KAFW,Fort Worth Alliance,Fort Worth Alliance,Fort Worth, TX,Fort Worth, TX,США,США
LTAH,LTAH,Afyon,Afyon,Afyon,Afyon,Турция,Турция
OIMS,OIMS,Sabzevar,Sabzevar,Sabzevar,Sabzevar,Иран,Иран
GMAD,GMAD,Agadir Almassira,Agadir Almassira,Agadir,Agadir,Марокко,Марокко
EDMA,EDMA,Augsburg - Muehlhausen,Augsburg - Muehlhausen,Munich,Munich,Германия,Германия
KAGC,KAGC,Allegheny County,Allegheny County,Pittsburgh,Pittsburgh,США,США
WASG,WASG,Anggi,Anggi,Anggi,Anggi,Индонезия,Индонезия
EDWG,EDWG,Flugplatz,Flugplatz,Wangerooge,Wangerooge,Германия,Германия
LFBA,LFBA,La Garenne,La Garenne,Agen,Agen,Франция,Франция
,,Angoram,Angoram,Angoram,Angoram,Папуа - Новая Гвинея,Папуа - Новая Гвинея
ESTA,ESTA,Angelholm,Angelholm,Angelholm/Helsingborg,Angelholm/Helsingborg,Швеция,Швеция
SMWA,SMWA,Wageningen,Wageningen,Wageningen,Wageningen,Суринам,Суринам
RORA,RORA,Aguni,Aguni,Aguni,Aguni,Япония,Япония
,,Kagua,Kagua,Kagua,Kagua,Папуа - Новая Гвинея,Папуа - Новая Гвинея
,,Wanigela,Wanigela,Wanigela,Wanigela,Папуа - Новая Гвинея,Папуа - Новая Гвинея
BGAM,BGAM,Tasiilaq,Tasiilaq,Tasiilaq,Tasiilaq,Дания,Дания
PAGN,PAGN,Angoon,Angoon,Angoon,Angoon,США,США
KAGO,KAGO,Municipal,Municipal,Magnolia,Magnolia,США,США
LEMG,LEMG,Pablo Ruiz Picasso,Pablo Ruiz Picasso,Malaga,Malaga,Испания,Испания
LGAG,LGAG,Agrinion,Agrinion,Agrinion,Agrinion,Греция,Греция
VIAG,VIAG,Kheria,Kheria,Agra,Agra,Индия,Индия
KAGS,KAGS,Bush Field,Bush Field,Augusta,Augusta,США,США
SGES,SGES,Alejo Garcia,Alejo Garcia,Ciudad Del Este,Ciudad Del Este,Парагвай,Парагвай
MMAS,MMAS,Aguascalients,Aguascalients,Aguascalientes,Aguascalientes,Мексика,Мексика
SVAC,SVAC,Acarigua,Acarigua,Acarigua,Acarigua,Венесуэла,Венесуэла
,,Agnew,Agnew,Agnew,Agnew,Австралия,Австралия
VOAT,VOAT,Agatti Island,Agatti Island,Agatti Island,Agatti Island,Индия,Индия
,,Argyle Downs,Argyle Downs,Argyle Downs,Argyle Downs,Австралия,Австралия
FAAG,FAAG,Aggeneys,Aggeneys,Aggeneys,Aggeneys,ЮАР,ЮАР
RORG,RORG,Naha Air Force Base,Naha Air Force Base,Okinawa,Okinawa,Япония,Япония
OEAB,OEAB,Abha,Abha,Abha,Abha,Саудовская Аравия,Саудовская Аравия
KAHC,KAHC,Amedee AAF,Amedee AAF,Herlong,Herlong,Норвегия,Норвегия
KAHD,KAHD,Downtown,Downtown,Ardmore,Ardmore,США,США
